OBJECTID,zip_1,mid_03,mid_04,mid_05,mid_06,mid_07,mid_08,mid_09,mid_10,mid_11,mid_12,Shape_Length,Shape_Area,SS_SEED,SS_GROUP
37,10455,-0.198106561000000,-0.189774402000000,-0.201454693000000,-0.169192072000000,-0.208003373000000,-0.180683161000000,-0.165305389000000,-0.234265935000000,-0.166674908000000,-0.122225850000000,0.073221429313120,0.000198984112597,0,1
38,11415,-0.382330236000000,-0.394750371000000,-0.389290109000000,-0.382211005000000,-0.374565461000000,-0.355510849000000,-0.339063107000000,-0.308857008000000,-0.385671486000000,-0.334866271000000,0.069702595629502,0.000155993452935,0,1
39,10171,-0.428386155000000,-0.424032652000000,-0.403738987000000,-0.439016054000000,-0.402325809000000,-0.422752268000000,-0.411462156000000,-0.428202725000000,-0.429470801000000,-0.419922440000000,0.005070683998221,0.000001329823193,0,1
40,11364,-0.459090101000000,-0.438673793000000,-0.447085621000000,-0.439016054000000,-0.457846505000000,-0.436200552000000,-0.454901585000000,-0.458039154000000,-0.473270117000000,-0.476626552000000,0.153200135202010,0.000682696282675,0,1
41,10069,-0.551201939000000,-0.541161777000000,-0.533778890000000,-0.538424890000000,-0.527247375000000,-0.530338538000000,-0.541780444000000,-0.547548442000000,-0.531669204000000,-0.547506693000000,0.034633017775433,0.000027828137721,0,1
42,10028,0.277804602000000,0.205536395000000,0.174216138000000,0.129034435000000,0.139000977000000,0.249661918000000,0.124290808000000,0.093934787000000,0.125320530000000,0.104590600000000,0.048394083521493,0.000086916900196,0,4
43,10152,-0.520497993000000,-0.511879496000000,-0.490432256000000,-0.495821103000000,-0.485606853000000,-0.463097119000000,-0.483861205000000,-0.428202725000000,-0.502469661000000,-0.476626552000000,0.005063326839001,0.000001324846370,0,1
44,10018,3.854814309000000,3.675486726000000,3.743089036000000,3.934972715000000,4.316933352000000,4.364836734000000,3.946960601000000,4.077098093000000,4.403053688000000,4.711799731000000,0.076357305840984,0.000090875883605,0,3
45,11412,-0.474442074000000,-0.497238355000000,-0.504881134000000,-0.510022365000000,-0.485606853000000,-0.503441970000000,-0.527300634000000,-0.502793798000000,-0.502469661000000,-0.490802580000000,0.088998716287489,0.000453196177948,0,1
46,11204,-0.213458534000000,-0.189774402000000,-0.215903571000000,-0.183393334000000,-0.277404243000000,-0.234476296000000,-0.165305389000000,-0.189511291000000,-0.181274679000000,-0.065521738000000,0.093735348744780,0.000425377953528,0,1
47,10019,5.221139905000000,5.022471665000000,4.898999287000000,4.843853498000000,4.997061878000000,5.077595770000000,4.902628049000000,4.987109185000000,4.738848441000000,4.711799731000000,0.116312985026718,0.000182508899314,0,3
48,10029,-0.059938804000000,-0.101927558000000,-0.013619277000000,-0.112387023000000,-0.055321459000000,-0.059648608000000,-0.063946720000000,-0.114920218000000,-0.108275820000000,-0.079697766000000,0.065045237616276,0.000225480728330,0,4
49,11429,-0.413034182000000,-0.409391511000000,-0.418187865000000,-0.410613530000000,-0.416205983000000,-0.409303984000000,-0.440421775000000,-0.443120940000000,-0.414871029000000,-0.419922440000000,0.082295537681634,0.000350282878726,0,1
50,10279,-0.228810507000000,-0.482597215000000,-0.490432256000000,-0.481619841000000,-0.457846505000000,-0.463097119000000,-0.440421775000000,-0.458039154000000,-0.444070573000000,-0.462450524000000,0.004838994499150,0.000001151478034,0,1
51,10472,-0.366978263000000,-0.365468089000000,-0.374841231000000,-0.410613530000000,-0.374565461000000,-0.395855700000000,-0.382502536000000,-0.383448081000000,-0.385671486000000,-0.349042299000000,0.089071352679001,0.000285681013421,0,1
52,10005,1.429202576000000,1.435392209000000,1.373473023000000,1.250934152000000,1.374336463000000,1.217938345000000,1.108917876000000,1.182964455000000,1.205703648000000,1.196144763000000,0.023524677263298,0.000020047446796,0,2
53,10016,4.422837309000000,4.114720945000000,4.191004258000000,4.105387862000000,3.858887610000000,3.853801953000000,3.744243264000000,3.778733800000000,3.687664866000000,3.832885989000000,0.055223030964436,0.000146777993643,0,3
54,10021,1.705538090000000,1.625727037000000,1.676899464000000,1.577563184000000,1.082852809000000,1.083455508000000,0.993079397000000,0.959191235000000,0.957507527000000,0.728335836000000,0.058882400482603,0.000103931309923,0,2
55,10065,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.049564516274827,0.000101539053436,0,4
