OBJECTID,zip_1,large_03,large_04,large_05,large_06,large_07,large_08,large_09,large_10,large_11,large_12,Shape_Length,Shape_Area,SS_SEED,SS_GROUP
92,10039,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.075006225038501,0.000121184595238,0,2
93,11109,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.018994805542644,0.000015894230612,0,2
94,11411,-0.481628097000000,-0.500194459000000,-0.429382833000000,-0.422440368000000,-0.429625748000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.437607163000000,0.077407542437702,0.000326936717622,0,2
95,11220,-0.148976834000000,-0.219924641000000,-0.022701509000000,-0.031199436000000,0.033901147000000,-0.045248223000000,0.047159817000000,0.122491867000000,0.102046048000000,0.026319851000000,0.127737199218879,0.000489094129174,0,1
96,10026,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.044911301597646,0.000092780820957,0,2
97,10007,0.316734935000000,0.270547539000000,0.316199594000000,0.360041495000000,0.298773658000000,0.589441614000000,0.587236627000000,0.612124657000000,0.851579162000000,0.755348016000000,0.043234271841793,0.000042588347725,0,1
98,10170,-0.348567592000000,-0.360059550000000,-0.361602613000000,-0.292026724000000,-0.164753237000000,-0.235655174000000,-0.222878588000000,-0.297193382000000,-0.238650822000000,-0.305056588000000,0.007057929953402,0.000002656552033,0,2
99,11210,-0.282037339000000,-0.289992096000000,-0.226042171000000,-0.226819902000000,-0.230971364000000,-0.235655174000000,-0.290388189000000,-0.227245841000000,-0.170511448000000,-0.238781300000000,0.106274700755618,0.000447726463400,0,2
100,10024,-0.015916328000000,-0.079789733000000,-0.022701509000000,-0.031199436000000,-0.098535109000000,-0.108717207000000,-0.020349784000000,-0.087350758000000,-0.102372074000000,-0.039955437000000,0.116889282489536,0.000236409965573,0,1
101,10172,-0.015916328000000,-0.079789733000000,-0.090481730000000,-0.096406258000000,-0.098535109000000,-0.108717207000000,-0.222878588000000,-0.297193382000000,-0.170511448000000,-0.305056588000000,0.005063219447299,0.000001323880803,0,1
102,11238,-0.282037339000000,-0.289992096000000,-0.293822392000000,-0.226819902000000,-0.297189492000000,-0.299124158000000,-0.290388189000000,-0.227245841000000,-0.238650822000000,-0.238781300000000,0.090367616041753,0.000305615417385,0,2
103,11417,-0.348567592000000,-0.360059550000000,-0.226042171000000,-0.292026724000000,-0.363407620000000,-0.362593141000000,-0.357897790000000,-0.367140923000000,-0.374929570000000,-0.305056588000000,0.089837345933857,0.000305029375749,0,2
104,11005,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.032803455235182,0.000046719524174,0,2
105,11427,-0.415097845000000,-0.430127004000000,-0.429382833000000,-0.422440368000000,-0.429625748000000,-0.426062125000000,-0.425407392000000,-0.437088465000000,-0.443068944000000,-0.437607163000000,0.132537877046938,0.000433965278229,0,2
