,census_tract,cluster,code
151,36005022500,1,2022500
152,36005022701,3,2022701
153,36005022702,0,2022702
154,36005022703,0,2022703
155,36005022800,3,2022800
156,36005022901,3,2022901
157,36005022902,0,2022902
158,36005023000,0,2023000
159,36005023100,0,2023100
160,36005023200,0,2023200
161,36005023301,3,2023301
162,36005023302,3,2023302
163,36005023501,3,2023501
164,36005023502,3,2023502
165,36005023600,0,2023600
166,36005023702,0,2023702
167,36005023703,1,2023703
168,36005023704,3,2023704
169,36005023800,0,2023800
170,36005023900,1,2023900
171,36005024000,3,2024000
172,36005024100,1,2024100
173,36005024300,4,2024300
174,36005024400,0,2024400
175,36005024501,3,2024501
176,36005024502,3,2024502
177,36005024600,0,2024600
178,36005024700,0,2024700
179,36005024800,0,2024800
180,36005024900,0,2024900
181,36005025000,0,2025000
182,36005025100,1,2025100
183,36005025200,0,2025200
184,36005025300,3,2025300
185,36005025400,0,2025400
186,36005025500,3,2025500
187,36005025600,0,2025600
188,36005025700,0,2025700
189,36005026100,4,2026100
190,36005026300,3,2026300
191,36005026400,1,2026400
192,36005026500,1,2026500
193,36005026601,3,2026601
194,36005026602,1,2026602
195,36005026701,3,2026701
196,36005026702,1,2026702
197,36005026900,3,2026900
198,36005027300,1,2027300
199,36005027401,1,2027401
200,36005027402,3,2027402
201,36005027600,0,2027600
202,36005027700,3,2027700
203,36005027900,1,2027900
204,36005028100,3,2028100
205,36005028300,0,2028300
206,36005028400,0,2028400
207,36005028500,3,2028500
208,36005028600,0,2028600
209,36005028700,0,2028700
210,36005028800,0,2028800
211,36005028900,3,2028900
212,36005029301,0,2029301
213,36005029302,3,2029302
214,36005029500,3,2029500
215,36005029600,0,2029600
216,36005029700,3,2029700
217,36005030000,1,2030000
218,36005030100,0,2030100
219,36005030200,1,2030200
220,36005030701,3,2030701
221,36005030900,0,2030900
222,36005031000,3,2031000
223,36005031200,0,2031200
224,36005031400,0,2031400
225,36005031600,0,2031600
226,36005031800,0,2031800
227,36005031900,0,2031900
228,36005032300,3,2032300
229,36005032400,3,2032400
230,36005032600,3,2032600
231,36005032800,3,2032800
232,36005033000,1,2033000
233,36005033201,3,2033201
234,36005033202,3,2033202
235,36005033400,0,2033400
236,36005033500,0,2033500
237,36005033600,3,2033600
238,36005033700,0,2033700
239,36005033800,3,2033800
240,36005034000,3,2034000
241,36005034200,0,2034200
242,36005034300,0,2034300
243,36005034400,0,2034400
244,36005034500,3,2034500
245,36005034800,3,2034800
246,36005035000,0,2035000
247,36005035100,0,2035100
248,36005035600,0,2035600
249,36005035800,1,2035800
250,36005035900,0,2035900
251,36005036000,0,2036000
252,36005036100,3,2036100
253,36005036300,1,2036300
254,36005036400,0,2036400
255,36005036501,3,2036501
256,36005036502,0,2036502
257,36005036700,0,2036700
258,36005036800,0,2036800
259,36005036901,0,2036901
260,36005036902,0,2036902
261,36005037000,0,2037000
262,36005037100,3,2037100
263,36005037200,0,2037200
264,36005037300,3,2037300
265,36005037400,0,2037400
266,36005037504,0,2037504
267,36005037600,0,2037600
268,36005037800,0,2037800
269,36005037900,3,2037900
270,36005038000,3,2038000
271,36005038100,1,2038100
272,36005038200,0,2038200
273,36005038301,3,2038301
274,36005038302,3,2038302
275,36005038500,3,2038500
276,36005038600,1,2038600
277,36005038700,0,2038700
278,36005038800,0,2038800
279,36005038900,3,2038900
280,36005039000,0,2039000
281,36005039100,3,2039100
282,36005039200,0,2039200
283,36005039300,1,2039300
284,36005039400,3,2039400
285,36005039500,3,2039500
286,36005039600,3,2039600
287,36005039700,0,2039700
288,36005039800,0,2039800
289,36005039901,1,2039901
290,36005039902,3,2039902
291,36005040100,3,2040100
292,36005040302,3,2040302
293,36005040303,3,2040303
294,36005040304,3,2040304
295,36005040400,0,2040400
296,36005040501,3,2040501
297,36005040502,1,2040502
298,36005040600,3,2040600
299,36005040701,0,2040701
300,36005040702,1,2040702
301,36005040800,3,2040800
302,36005040900,3,2040900
303,36005041100,0,2041100
304,36005041300,1,2041300
305,36005041400,3,2041400
306,36005041500,1,2041500
307,36005041800,3,2041800
308,36005041900,3,2041900
309,36005042000,3,2042000
310,36005042100,3,2042100
311,36005042200,0,2042200
312,36005042300,3,2042300
313,36005042400,0,2042400
314,36005042500,1,2042500
315,36005042600,3,2042600
316,36005042800,0,2042800
317,36005042901,0,2042901
318,36005042902,3,2042902
319,36005043000,0,2043000
320,36005043100,1,2043100
321,36005043400,3,2043400
322,36005043500,0,2043500
323,36005043600,0,2043600
324,36005044200,3,2044200
325,36005044400,3,2044400
326,36005044800,0,2044800
327,36005044901,0,2044901
328,36005044902,0,2044902
329,36005045101,0,2045101
330,36005045102,0,2045102
331,36005045600,0,2045600
332,36005045800,3,2045800
333,36005046000,0,2046000
334,36005046201,2,2046201
335,36005046202,1,2046202
336,36005048400,3,2048400
337,36005050400,0,2050400
338,36005051600,3,2051600
339,36047000100,1,3000100
340,36047000200,0,3000200
341,36047000301,1,3000301
342,36047000501,1,3000501
343,36047000502,3,3000502
344,36047000700,3,3000700
345,36047000900,3,3000900
346,36047001100,0,3001100
347,36047001300,0,3001300
348,36047001500,1,3001500
349,36047001800,0,3001800
350,36047002000,0,3002000
351,36047002100,3,3002100
352,36047002200,3,3002200
353,36047002300,3,3002300
354,36047002901,0,3002901
355,36047003000,0,3003000
356,36047003100,0,3003100
357,36047003300,3,3003300
358,36047003400,0,3003400
359,36047003500,0,3003500
360,36047003600,3,3003600
361,36047003700,0,3003700
362,36047003800,0,3003800
363,36047003900,0,3003900
364,36047004100,3,3004100
365,36047004300,3,3004300
366,36047004400,0,3004400
367,36047004500,3,3004500
368,36047004600,0,3004600
369,36047004700,0,3004700
370,36047004900,0,3004900
371,36047005000,0,3005000
372,36047005100,3,3005100
373,36047005201,0,3005201
374,36047005202,0,3005202
375,36047005300,0,3005300
376,36047005400,3,3005400
377,36047005601,0,3005601
378,36047005602,0,3005602
379,36047005800,3,3005800
380,36047005900,0,3005900
381,36047006000,0,3006000
382,36047006200,3,3006200
383,36047006300,0,3006300
384,36047006400,3,3006400
385,36047006500,3,3006500
386,36047006600,3,3006600
387,36047006700,3,3006700
388,36047006800,3,3006800
389,36047006900,3,3006900
